,name,price,url
39,"realme 9i (Prism Blue, 128 GB)","13,499",https://www.filpkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
40,"realme 9i (Prism Black, 128 GB)","13,499",https://www.filpkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
41,"realme 9i (Prism Black, 128 GB)","11,499",https://www.filpkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
42,"REDMI 9i Sport (Metallic Blue, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUR9J4PR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
43,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","64,999",https://www.filpkart.com/apple-iphone-13-product-red-128-gb/p/itm99b5658d148b0?pid=MOBG6VF59ZFEPEBX&lid=LSTMOBG6VF59ZFEPEBXH3IWCE&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG6VF59ZFEPEBX.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
44,"MOTOROLA g52 (Metallic White, 128 GB)","12,999",https://www.filpkart.com/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
45,"POCO M4 Pro 5G (Cool Blue, 64 GB)","14,999",https://www.filpkart.com/poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
46,"REDMI 10 (Pacific Blue, 64 GB)","14,999",https://www.filpkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
47,"APPLE iPhone 13 (Midnight, 128 GB)","64,999",https://www.filpkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=f89697d2-588e-4fb7-8f2e-0decfd01216d.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=3uye6wp89s0000001672744412131&qH=1036ba3c4ed2c021
48,"REDMI 9i Sport (Coral Green, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGJDTSKF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
49,"MOTOROLA G32 (Mineral Gray, 64 GB)","9,999",https://www.filpkart.com/motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGEA3CZ8Z7HWCY.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
50,"APPLE iPhone 12 mini (Black, 64 GB)","37,999",https://www.filpkart.com/apple-iphone-12-mini-black-64-gb/p/itm38b727191eb08?pid=MOBFWBYZXSEGBS6F&lid=LSTMOBFWBYZXSEGBS6FTONJ6W&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBFWBYZXSEGBS6F.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
51,"POCO C31 (Shadow Gray, 64 GB)","9,499",https://www.filpkart.com/poco-c31-shadow-gray-64-gb/p/itm162375acb8370?pid=MOBG73E7UBFXXMCH&lid=LSTMOBG73E7UBFXXMCHSM0ZN5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG73E7UBFXXMCH.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
52,"MOTOROLA g52 (Charcoal Grey, 128 GB)","12,999",https://www.filpkart.com/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
53,"POCO C31 (Royal Blue, 64 GB)","9,499",https://www.filpkart.com/poco-c31-royal-blue-64-gb/p/itm19effae969b86?pid=MOBG73E7GKQK4KZP&lid=LSTMOBG73E7GKQK4KZPR5ICMK&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG73E7GKQK4KZP.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
54,"MOTOROLA G32 (Satin Silver, 64 GB)","9,999",https://www.filpkart.com/motorola-g32-satin-silver-64-gb/p/itm264e8f39d3934?pid=MOBGEA3CGNUPBCD2&lid=LSTMOBGEA3CGNUPBCD2ASUJ7J&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGEA3CGNUPBCD2.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
55,"realme 9i (Prism Blue, 128 GB)","11,499",https://www.filpkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBGBMZHMUHYWFAE&lid=LSTMOBGBMZHMUHYWFAEOYWISO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGBMZHMUHYWFAE.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
56,"realme 9i (Prism Blue, 64 GB)","10,999",https://www.filpkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRTQDFUL&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
57,"POCO C31 (Royal Blue, 32 GB)","8,499",https://www.filpkart.com/poco-c31-royal-blue-32-gb/p/itm9656ebd21e0b3?pid=MOBG73E7ZBHHQ3RB&lid=LSTMOBG73E7ZBHHQ3RBPQ3FU1&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG73E7ZBHHQ3RB.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
58,"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6MSMKC8&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
59,"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
60,"REDMI 10 (Midnight Black, 64 GB)","14,999",https://www.filpkart.com/redmi-10-midnight-black-64-gb/p/itmd93641e4ebb47?pid=MOBGC9GYEBH3GZ4E&lid=LSTMOBGC9GYEBH3GZ4ESWAKTT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGC9GYEBH3GZ4E.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
61,"POCO M4 Pro 5G (Cool Blue, 128 GB)","16,999",https://www.filpkart.com/poco-m4-pro-5g-cool-blue-128-gb/p/itm509e4403d0303?pid=MOBGBEU7GKRSHG5M&lid=LSTMOBGBEU7GKRSHG5MWVOWEV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGBEU7GKRSHG5M.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
62,"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
63,"realme 9i (Prism Blue, 128 GB)","13,499",https://www.filpkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNDMVYNZ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
64,"realme 9i (Prism Black, 128 GB)","13,499",https://www.filpkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
65,"realme 9i (Prism Black, 128 GB)","11,499",https://www.filpkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
66,"REDMI 9i Sport (Metallic Blue, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUR9J4PR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
67,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","64,999",https://www.filpkart.com/apple-iphone-13-product-red-128-gb/p/itm99b5658d148b0?pid=MOBG6VF59ZFEPEBX&lid=LSTMOBG6VF59ZFEPEBXH3IWCE&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG6VF59ZFEPEBX.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
68,"MOTOROLA g52 (Metallic White, 128 GB)","12,999",https://www.filpkart.com/motorola-g52-metallic-white-128-gb/p/itm469efad765b98?pid=MOBGAKFYDDSNZGR8&lid=LSTMOBGAKFYDDSNZGR8W6QBUV&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGAKFYDDSNZGR8.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
69,"POCO M4 Pro 5G (Cool Blue, 64 GB)","14,999",https://www.filpkart.com/poco-m4-pro-5g-cool-blue-64-gb/p/itm827b338897bfe?pid=MOBGBEU7YYZGFMYB&lid=LSTMOBGBEU7YYZGFMYBKLZWIN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGBEU7YYZGFMYB.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
70,"REDMI 10 (Pacific Blue, 64 GB)","14,999",https://www.filpkart.com/redmi-10-pacific-blue-64-gb/p/itm0f2a6a2112b75?pid=MOBGC9GYCHQZK9GW&lid=LSTMOBGC9GYCHQZK9GW8N0WII&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBGC9GYCHQZK9GW.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
71,"APPLE iPhone 13 (Midnight, 128 GB)","64,999",https://www.filpkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=8c1357fc-1d7f-4638-9f16-644d960d9ffd.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=fep1tiiu8g0000001672744412883&qH=1036ba3c4ed2c021
72,"MOTOROLA e40 (Carbon Gray, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-carbon-gray-64-gb/p/itm0ca635007c9e2?pid=MOBG2EMWUMUFGSZE&lid=LSTMOBG2EMWUMUFGSZEJNGZMU&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBG2EMWUMUFGSZE.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
73,"MOTOROLA e40 (Pink Clay, 64 GB)","7,999",https://www.filpkart.com/motorola-e40-pink-clay-64-gb/p/itm5d6f2871d1bbf?pid=MOBG2EMW2ZUR4BFG&lid=LSTMOBG2EMW2ZUR4BFG7CQBAI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBG2EMW2ZUR4BFG.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
74,"MOTOROLA G32 (Mineral Gray, 64 GB)","9,999",https://www.filpkart.com/motorola-g32-mineral-gray-64-gb/p/itmdcfa4c4022714?pid=MOBGEA3CZ8Z7HWCY&lid=LSTMOBGEA3CZ8Z7HWCYPHBSGA&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBGEA3CZ8Z7HWCY.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
75,"I Kall K350 PRO (Green, 32 GB)","4,999",https://www.filpkart.com/kall-k350-pro-green-32-gb/p/itma573c73c578ef?pid=MOBGKV25QSGQZZNV&lid=LSTMOBGKV25QSGQZZNV1AIIYB&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=en_bP43ldiKwmnEUIyor7WStwmcYCoesj0MF2Hv19l2b5zsyQAnAIkblICNQKwGklxvvKeBxvSTV%2BYhsvGq2DPBtA%3D%3D&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
76,"REDMI 9i Sport (Coral Green, 64 GB)","9,999",https://www.filpkart.com/redmi-9i-sport-coral-green-64-gb/p/itmb5e8d8186b602?pid=MOBG6WQWJRFZ5WDG&lid=LSTMOBG6WQWJRFZ5WDGEZXWFI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBG6WQWJRFZ5WDG.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
77,"REDMI 9i Sport (Carbon Black, 64 GB)","7,199",https://www.filpkart.com/redmi-9i-sport-carbon-black-64-gb/p/itm4559197007bd1?pid=MOBG6WQWRGRRDBH6&lid=LSTMOBG6WQWRGRRDBH6MSMKC8&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBG6WQWRGRRDBH6.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
78,"MOTOROLA g52 (Charcoal Grey, 128 GB)","12,999",https://www.filpkart.com/motorola-g52-charcoal-grey-128-gb/p/itmea9ebe003e26c?pid=MOBGAKFYFCZJ8JVY&lid=LSTMOBGAKFYFCZJ8JVY99JHKD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_4_na_na_ps&fm=organic&iid=557924f7-aa21-433e-9314-84dfa56d334d.MOBGAKFYFCZJ8JVY.SEARCH&ppt=None&ppn=None&ssid=o4ycj6xo9s0000001672744413730&qH=1036ba3c4ed2c021
